TC ID,구분,우선순위,화면·영역,테스트 시나리오,사전조건,수행 절차,기대 결과,실제 결과,결과,테스터,이슈번호
RISK-001,위험성평가,P0,정기 위험성평가,화면 진입 및 기본 조회,평가 데이터 1건 이상,위험성평가 > 정기 위험성평가 진입,최신 연도가 기본 선택되고 요약·부서별 조치 표가 오류 없이 노출된다.,,N/T,,
RISK-002,위험성평가,P0,정기 위험성평가,요약 정합성,개선조치 데이터 존재,상단 요약(대상 부서 N개·완료 M개·설문조사표·보고서·개선 n/m %)을 부서별 조치 표와 대조,대상 부서 수·완료 부서 수·개선 건수와 진행률이 표의 실제 건수와 일치한다.,,N/T,,
RISK-003,위험성평가,P1,정기 위험성평가,평가연도 전환,2개 연도 이상 데이터,연도 셀렉트 변경,선택 연도의 평가만 조회되고 요약·표가 함께 갱신된다.,,N/T,,
RISK-004,위험성평가,P1,정기 위험성평가,평가 없는 연도 안내,평가가 없는 연도,해당 연도 선택,빈 상태 안내(① 대상 부서 선정 → ② 점검일자 지정)와 [＋정기평가 생성]이 노출되고 레이아웃이 깨지지 않는다.,,N/T,,
RISK-005,위험성평가,P0,정기 위험성평가,권한별 기능 노출,페르소나 4종,박안전 / 하정수 / 홍길동 / 김담양 순으로 전환해 같은 화면 비교,"박안전만 생성·검수·전달·완료확인·공문이 보이고, 하정수는 자기 부서 진행 카드만, 홍길동·김담양은 조회 전용 안내가 뜬다.",,N/T,,
RISK-006,위험성평가,P0,정기 위험성평가,조회 범위 격리,부서 담당자 페르소나,하정수로 전환 후 표 확인 → 환경과 부서 상세를 전역 호출/URL로 시도,"남의 부서 행이 보이지 않고, 직접 호출해도 열리지 않는다.",,N/T,,
RISK-007,위험성평가,P0,정기평가 생성,STEP1 대상 부서 선정,박안전 권한 · 평가 없는 연도,[＋정기평가 생성] > 조직도에서 부서 체크 해제·재선택·검색,기본 전체선택 상태로 열리고 선택 개수가 즉시 갱신되며 검색어·스크롤이 유지된다.,,N/T,,
RISK-008,위험성평가,P0,정기평가 생성,STEP2 점검일자 지정,STEP1 완료,일괄 점검일자 적용 후 특정 부서만 개별 수정 > 생성,일괄값이 전 부서에 적용되고 개별 수정값이 우선 저장된다.,,N/T,,
RISK-009,위험성평가,P0,정기평가 생성,필수값 검증,생성 마법사,부서를 모두 해제한 채 [다음] > 부서는 고르되 점검일자를 비운 채 [생성],"두 경우 모두 차단되고, 점검일 누락은 비어 있는 부서 수를 세어 알린다.",,N/T,,
RISK-010,위험성평가,P0,정기평가 생성,동일 연도 중복 생성 차단,해당 연도 평가 존재,같은 연도에서 [＋정기평가 생성] 클릭,「이미 존재」 안내가 뜨고 마법사가 열리지 않는다.,,N/T,,
RISK-011,위험성평가,P0,정기평가 생성,생성 후 현황 반영,생성 완료,목록 재진입,선정한 부서가 전부 행으로 생성되고 점검일이 일치한다.,,N/T,,
RISK-012,위험성평가,P0,설문조사표,양식 첨부 (공통·부서별),평가 생성됨 · 박안전,공통 양식 첨부 > 특정 부서만 별도 양식 첨부,공통본이 전 부서에 적용되고 부서별 첨부가 그 부서에서 우선한다. 재진입 후 유지된다.,,N/T,,
RISK-013,위험성평가,P1,설문조사표 / 수시평가,양식 다운로드,양식 첨부됨,정기 설문조사표 · 수시평가 표준양식 각각 다운로드 클릭,「서식 파일 등록 후 제공됩니다」 안내가 뜬다(의도된 미구현 → N/A).,,N/T,,
RISK-014,위험성평가,P0,설문조사표,부서 담당자 제출,하정수 권한,내 부서 진행 카드에서 작성본 제출,파일명·제출자·제출일이 저장되고 표의 제출본 칸에 즉시 반영된다.,,N/T,,
RISK-015,위험성평가,P1,설문조사표,주관부서 대리 등록,박안전 권한,특정 부서 제출본을 대리 등록,제출자가 「재난안전과 대리 등록」으로 구분되어 남는다.,,N/T,,
RISK-017,위험성평가,P0,보고서·개선조치,용역업체 통합 보고서 첨부,박안전 권한,통합 보고서(HWPX) 첨부 > 재진입,파일명이 요약에 표시되고 재조회 시 동일하다.,,N/T,,
RISK-016,위험성평가,P0,설문조사표,보고서 등록 후 잠금,용역업체 보고서 첨부 완료,부서 권한에서 설문조사표 제출본 교체 시도,더 이상 바꿀 수 없다는 안내가 뜨고 기존 제출본은 열람만 남는다.,,N/T,,
RISK-018,위험성평가,P0,보고서·개선조치,부서별 개선조치 직접 작성,보고서 첨부됨,부서 블록에서 유해위험요인·원인·개선조치·담당자 행을 직접 입력 > 요인명만 있고 개선조치가 빈 행도 하나 만들어 전달 시도,입력 행이 저장되고 통합 보고서를 열어 볼 수 있는 링크가 함께 제공된다. 요인명과 개선조치가 모두 있어야 전달 대상이라 한쪽만 채운 행은 세지 않고 「요인명·개선조치를 채워주세요」로 안내된다. (자동 파싱은 없다),,N/T,,
